# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
97,1773201642.3953836,310400,-1.2581253051757812,0.5373886227607727,1.2540282011032104,0.3574623465538025,1.2584284543991089,2.548050880432129
98,1773201648.172969,313600,-1.2581253051757812,0.5373886227607727,1.2588080167770386,0.5799154043197632,1.2584284543991089,2.548050880432129
99,1773201655.9504023,316800,-1.2599565982818604,0.267117977142334,1.2588080167770386,0.5799154043197632,1.2584284543991089,2.548050880432129
100,1773201656.510835,320000,-1.2599565982818604,0.267117977142334,1.2588080167770386,0.5799154043197632,1.2601079940795898,1.9998266696929932
101,1773201662.0609484,323200,-1.2599565982818604,0.267117977142334,1.2610942125320435,0.38722726702690125,1.2601079940795898,1.9998266696929932
102,1773201670.1112025,326400,-1.261755347251892,0.3255276083946228,1.2610942125320435,0.38722726702690125,1.2601079940795898,1.9998266696929932
103,1773201670.474846,329600,-1.261755347251892,0.3255276083946228,1.2610942125320435,0.38722726702690125,1.2620488405227661,2.0764057636260986
104,1773201676.3061094,332800,-1.261755347251892,0.3255276083946228,1.2614408731460571,0.480532705783844,1.2620488405227661,2.0764057636260986
105,1773201684.8771098,336000,-1.2625735998153687,0.28185349702835083,1.2614408731460571,0.480532705783844,1.2620488405227661,2.0764057636260986
106,1773201685.7097855,339200,-1.2625735998153687,0.28185349702835083,1.2614408731460571,0.480532705783844,1.2627277374267578,1.983858585357666
107,1773201691.3319864,342400,-1.2625735998153687,0.28185349702835083,1.2638278007507324,0.4057570695877075,1.2627277374267578,1.983858585357666
108,1773201698.7550652,345600,-1.264253854751587,0.4547828435897827,1.2638278007507324,0.4057570695877075,1.2627277374267578,1.983858585357666
109,1773201699.633035,348800,-1.264253854751587,0.4547828435897827,1.2638278007507324,0.4057570695877075,1.2652795314788818,2.5431292057037354
110,1773201705.152564,352000,-1.264253854751587,0.4547828435897827,1.2667123079299927,0.5802430510520935,1.2652795314788818,2.5431292057037354
111,1773201712.8332589,355200,-1.2669308185577393,0.4916066527366638,1.2667123079299927,0.5802430510520935,1.2652795314788818,2.5431292057037354
112,1773201713.4528635,358400,-1.2669308185577393,0.4916066527366638,1.2667123079299927,0.5802430510520935,1.2671613693237305,2.065485715866089
113,1773201719.6169431,361600,-1.2669308185577393,0.4916066527366638,1.2680109739303589,0.25023603439331055,1.2671613693237305,2.065485715866089
